台中州廳（今台中市政府）,台中市西區民權路99號,建於1913年，是日治時期台中州的行政中心，現已改為台中市政府辦公廳舍。,https://upload.wikimedia.org/wikipedia/commons/9/90/Taichung_Prefectural_Hall.jpg
台中市役所（今台中市政府民政局）,台中市西區自由路2段199號,建於1915年，曾是台中市政府所在地，現在作為民政局的辦公廳。,https://upload.wikimedia.org/wikipedia/commons/3/30/Taichung_City_Hall.jpg
台中州立圖書館（今台中市立圖書館本館）,台中市西區五權路21號,建於1923年，為台中地區最早的公共圖書館。,https://upload.wikimedia.org/wikipedia/commons/a/ab/Taichung_Public_Library.JPG
臺中車站,台中市中區台灣大道一段1號,建於1905年，具有典型的日治時期建築風格，是台中交通的重要樞紐。,https://upload.wikimedia.org/wikipedia/commons/5/52/Taichung_Railway_Station_20190707.jpg
一中商圈（舊台中一中校區）,台中市北區育才街2號,建於1937年，是台中最早的高中之一，現為商圈的一部分。,https://upload.wikimedia.org/wikipedia/commons/1/1d/Yi-Chung_Street.JPG
柳原教會,台中市東區大勇街12號,建於1906年，為台中最早的基督教教堂之一，見證了基督教在台中的傳播。,https://upload.wikimedia.org/wikipedia/commons/3/35/Taichung_Liuyuan_Church.jpg
臺中市孔廟,台中市北區雙十路二段30號,建於1976年，模仿山東曲阜孔廟建築風格，是台中市民進行祭孔活動的重要場所。,https://upload.wikimedia.org/wikipedia/commons/3/34/Taichung_Confucius_Temple.JPG
台中放送局,台中市西區民權路99號,建於1935年，是日治時期的重要廣播電台，現已改為文化資產保存中心。,https://upload.wikimedia.org/wikipedia/commons/4/4a/Taichung_Broadcast_Station.jpg
台中刑務所演武場,台中市南區建國北路121號,建於1937年，曾是日治時期的武道場，現為歷史建築。,https://upload.wikimedia.org/wikipedia/commons/9/95/Taichung_Prison_E_Martial_Arts_Hall.jpg
台中醫院,台中市中區民權路199號,建於1936年，為台中地區的重要醫療設施，見證了醫療發展的歷史。,https://upload.wikimedia.org/wikipedia/commons/8/88/Taichung_Hospital.jpg
綠川,台中市中區綠川西街,曾是台中市區的重要河道，經過整治後成為綠化景觀區，具有歷史文化意義。,https://upload.wikimedia.org/wikipedia/commons/8/87/Green_River_Taichung.jpg
台中第一市場,台中市中區成功路87號,建於1917年，為台中最早的市場之一，見證了市集經濟的變遷。,https://upload.wikimedia.org/wikipedia/commons/4/4c/Taichung_First_Square_Market.jpg
宮原眼科,台中市中區中山路20號,建於1927年，原為日治時期的眼科診所，現已改為知名的甜品店。,https://upload.wikimedia.org/wikipedia/commons/2/27/Miyahara%27s_Optometry.jpg
台中忠烈祠,台中市北區雙十路一段,建於1928年，原為日治時期的護國神社，現為紀念國軍烈士的場所。,https://upload.wikimedia.org/wikipedia/commons/4/48/Taichung_Martyrs%27_Shrine.JPG
台中文學館,台中市西區民權路98號,建於1935年，原為日治時期的台中市公會堂，現為文學館。,https://upload.wikimedia.org/wikipedia/commons/7/7e
